"total_count","gender","district","municipality","ward","beneficiary_type","vulnerable","benef_from","dcode"
1,"Female","Arghakhanchi","Sandikharka   Municipality",2,"RCB","N","SURVEY_RCB",51
3,"Female","Arghakhanchi","Sandikharka   Municipality",4,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Sandikharka   Municipality",5,"RCB","Y","SURVEY_RCB",51
3,"Female","Arghakhanchi","Sandikharka   Municipality",7,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Sandikharka   Municipality",8,"RCB","N","SURVEY_RCB",51
5,"Female","Arghakhanchi","Sandikharka   Municipality",9,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Sandikharka   Municipality",9,"RTB","N","GRIEVANCE_RTB_II",51
1,"Female","Arghakhanchi","Sandikharka   Municipality",10,"RTB","N","GRIEVANCE_RTB_II",51
7,"Female","Arghakhanchi","Sandikharka   Municipality",11,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Sandikharka   Municipality",11,"RTB","N","GRIEVANCE_RTB_II",51
1,"Female","Arghakhanchi","Sandikharka   Municipality",12,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Sandikharka   Municipality",12,"RTB","N","GRIEVANCE_RTB_II",51
1,"Female","Arghakhanchi","Sandikharka  Urban Municipality",11,"RCB","N","MANUAL",51
1,"Female","Arghakhanchi","Sitganga   Municipality",1,"RCB","N","SURVEY_RCB",51
11,"Female","Arghakhanchi","Sitganga   Municipality",2,"RCB","N","SURVEY_RCB",51
4,"Female","Arghakhanchi","Sitganga   Municipality",3,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Sitganga   Municipality",4,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Sitganga   Municipality",4,"RCB","Y","SURVEY_RCB",51
1,"Female","Arghakhanchi","Sitganga   Municipality",5,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Sitganga   Municipality",8,"RCB","N","SURVEY_RCB",51
5,"Female","Arghakhanchi","Sitganga   Municipality",9,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Sitganga   Municipality",10,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Sitganga   Municipality",11,"RCB","N","SURVEY_RCB",51
2,"Female","Arghakhanchi","Sitganga   Municipality",12,"RCB","N","SURVEY_RCB",51
1,"Female","Arghakhanchi","Sitganga   Municipality",14,"RCB","N","SURVEY_RCB",51
4,"Female","Baglung","Baglung  Municipality",1,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Baglung  Municipality",2,"RCB","N","GRIEVANCE_RCB_II",45
9,"Female","Baglung","Baglung  Municipality",2,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Baglung  Municipality",2,"RCB","Y","SURVEY_RCB",45
1,"Female","Baglung","Baglung  Municipality",3,"RCB","N","GRIEVANCE_RCB_II",45
35,"Female","Baglung","Baglung  Municipality",3,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Baglung  Municipality",3,"RTB","N","GRIEVANCE_RTB_II",45
1,"Female","Baglung","Baglung  Municipality",3,"RTB","N","SURVEY_RTB",45
19,"Female","Baglung","Baglung  Municipality",4,"RCB","N","SURVEY_RCB",45
3,"Female","Baglung","Baglung  Municipality",4,"RCB","Y","SURVEY_RCB",45
1,"Female","Baglung","Baglung  Municipality",4,"RTB","N","SURVEY_RTB",45
2,"Female","Baglung","Baglung  Municipality",5,"RCB","N","SURVEY_RCB",45
6,"Female","Baglung","Baglung  Municipality",6,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Baglung  Municipality",6,"RCB","Y","SURVEY_RCB",45
1,"Female","Baglung","Baglung  Municipality",6,"RTB","N","SURVEY_RTB",45
25,"Female","Baglung","Baglung  Municipality",7,"RCB","N","SURVEY_RCB",45
4,"Female","Baglung","Baglung  Municipality",7,"RCB","Y","SURVEY_RCB",45
13,"Female","Baglung","Baglung  Municipality",8,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Baglung  Municipality",9,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Baglung  Municipality",10,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Baglung  Municipality",10,"RCB","Y","SURVEY_RCB",45
6,"Female","Baglung","Baglung  Municipality",11,"RCB","N","SURVEY_RCB",45
21,"Female","Baglung","Baglung  Municipality",12,"RCB","N","SURVEY_RCB",45
6,"Female","Baglung","Baglung  Municipality",13,"RCB","N","SURVEY_RCB",45
4,"Female","Baglung","Baglung  Municipality",14,"RCB","N","SURVEY_RCB",45
3,"Female","Baglung","Baglung Urban Municipality",13,"RCB","N","MANUAL",45
1,"Female","Baglung","Baglung Urban Municipality",14,"RCB","N","MANUAL",45
24,"Female","Baglung","Bareng Rural Municipality",1,"RCB","N","SURVEY_RCB",45
20,"Female","Baglung","Bareng Rural Municipality",2,"RCB","N","SURVEY_RCB",45
8,"Female","Baglung","Bareng Rural Municipality",3,"RCB","N","SURVEY_RCB",45
4,"Female","Baglung","Bareng Rural Municipality",4,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Bareng Rural Municipality",5,"RCB","N","SURVEY_RCB",45
4,"Female","Baglung","Dhorpatan  Municipality",1,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Dhorpatan  Municipality",2,"RCB","N","SURVEY_RCB",45
3,"Female","Baglung","Dhorpatan  Municipality",4,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Dhorpatan  Municipality",6,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Dhorpatan  Municipality",7,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Dhorpatan  Municipality",9,"RCB","N","SURVEY_RCB",45
3,"Female","Baglung","Galkot  Municipality",1,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Galkot  Municipality",2,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Galkot  Municipality",3,"RCB","N","SURVEY_RCB",45
4,"Female","Baglung","Galkot  Municipality",4,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Galkot  Municipality",4,"RCB","Y","SURVEY_RCB",45
7,"Female","Baglung","Galkot  Municipality",5,"RCB","N","SURVEY_RCB",45
15,"Female","Baglung","Galkot  Municipality",6,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Galkot  Municipality",6,"RCB","Y","SURVEY_RCB",45
1,"Female","Baglung","Galkot  Municipality",7,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Galkot  Municipality",9,"RCB","N","SURVEY_RCB",45
13,"Female","Baglung","Galkot  Municipality",10,"RCB","N","SURVEY_RCB",45
48,"Female","Baglung","Galkot  Municipality",11,"RCB","N","SURVEY_RCB",45
13,"Female","Baglung","Galkot  Municipality",11,"RTB","N","SURVEY_RTB",45
4,"Female","Baglung","Jaimini  Municipality",1,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Jaimini  Municipality",2,"RCB","N","GRIEVANCE_RCB_II",45
10,"Female","Baglung","Jaimini  Municipality",2,"RCB","N","SURVEY_RCB",45
10,"Female","Baglung","Jaimini  Municipality",3,"RCB","N","SURVEY_RCB",45
41,"Female","Baglung","Jaimini  Municipality",4,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Jaimini  Municipality",4,"RCB","Y","SURVEY_RCB",45
1,"Female","Baglung","Jaimini  Municipality",4,"RTB","N","SURVEY_RTB",45
16,"Female","Baglung","Jaimini  Municipality",5,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Jaimini  Municipality",5,"RCB","Y","SURVEY_RCB",45
37,"Female","Baglung","Jaimini  Municipality",6,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Jaimini  Municipality",6,"RCB","Y","SURVEY_RCB",45
6,"Female","Baglung","Jaimini  Municipality",6,"RTB","N","SURVEY_RTB",45
19,"Female","Baglung","Jaimini  Municipality",7,"RCB","N","SURVEY_RCB",45
52,"Female","Baglung","Jaimini  Municipality",8,"RCB","N","SURVEY_RCB",45
5,"Female","Baglung","Jaimini  Municipality",8,"RCB","Y","SURVEY_RCB",45
16,"Female","Baglung","Jaimini  Municipality",9,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Jaimini  Municipality",9,"RCB","Y","SURVEY_RCB",45
18,"Female","Baglung","Jaimini  Municipality",10,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Jaimini Urban Municipality",1,"RCB","N","MANUAL",45
13,"Female","Baglung","Kathekhola Rural Municipality",1,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Kathekhola Rural Municipality",2,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Kathekhola Rural Municipality",3,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Kathekhola Rural Municipality",4,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Kathekhola Rural Municipality",4,"RCB","Y","SURVEY_RCB",45
10,"Female","Baglung","Kathekhola Rural Municipality",5,"HRB","N","MANUAL",45
15,"Female","Baglung","Kathekhola Rural Municipality",5,"RCB","N","SURVEY_RCB",45
11,"Female","Baglung","Kathekhola Rural Municipality",6,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Kathekhola Rural Municipality",6,"RCB","Y","SURVEY_RCB",45
17,"Female","Baglung","Kathekhola Rural Municipality",7,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Kathekhola Rural Municipality",7,"RCB","Y","SURVEY_RCB",45
4,"Female","Baglung","Kathekhola Rural Municipality",7,"RTB","N","SURVEY_RTB",45
7,"Female","Baglung","Kathekhola Rural Municipality",8,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Kathekhola Rural Municipality",8,"RTB","N","SURVEY_RTB",45
1,"Female","Baglung","Nisikhola Rural Municipality",2,"RCB","N","SURVEY_RCB",45
1,"Female","Baglung","Nisikhola Rural Municipality",5,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Tamankhola Rural Municipality",2,"RCB","N","SURVEY_RCB",45
13,"Female","Baglung","Tarakhola Rural Municipality",1,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","Tarakhola Rural Municipality",1,"RCB","Y","SURVEY_RCB",45
8,"Female","Baglung","wadigaun Rural Municipality",1,"RCB","N","SURVEY_RCB",45
2,"Female","Baglung","wadigaun Rural Municipality",2,"RCB","N","SURVEY_RCB",45
3,"Female","Baglung","wadigaun Rural Municipality",3,"RCB","N","SURVEY_RCB",45
9,"Female","Baglung","wadigaun Rural Municipality",4,"RCB","N","SURVEY_RCB",45
8,"Female","Baglung","wadigaun Rural Municipality",5,"RCB","N","SURVEY_RCB",45
3,"Female","Baglung","wadigaun Rural Municipality",7,"RCB","N","SURVEY_RCB",45
4,"Female","Baglung","wadigaun Rural Municipality",8,"RCB","N","SURVEY_RCB",45
7,"Female","Bhaktapur","Bhaktapur  Municipality",1,"RCB","N","GRIEVANCE_PHASE_I",26
1,"Female","Bhaktapur","Bhaktapur  Municipality",1,"RCB","N","RS_RV_RCB",26
143,"Female","Bhaktapur","Bhaktapur  Municipality",1,"RCB","N","SURVEY_RCB",26
8,"Female","Bhaktapur","Bhaktapur  Municipality",1,"RCB","Y","SURVEY_RCB",26
1,"Female","Bhaktapur","Bhaktapur  Municipality",1,"RTB","N","SURVEY_RTB",26
11,"Female","Bhaktapur","Bhaktapur  Municipality",2,"RCB","N","GRIEVANCE_PHASE_I",26
2,"Female","Bhaktapur","Bhaktapur  Municipality",2,"RCB","N","RS_RV_RCB",26
205,"Female","Bhaktapur","Bhaktapur  Municipality",2,"RCB","N","SURVEY_RCB",26
17,"Female","Bhaktapur","Bhaktapur  Municipality",2,"RCB","Y","SURVEY_RCB",26
1,"Female","Bhaktapur","Bhaktapur  Municipality",2,"RTB","N","RS_RV_RTB",26
9,"Female","Bhaktapur","Bhaktapur  Municipality",3,"RCB","N","GRIEVANCE_PHASE_I",26
2,"Female","Bhaktapur","Bhaktapur  Municipality",3,"RCB","N","RS_RV_RCB",26
176,"Female","Bhaktapur","Bhaktapur  Municipality",3,"RCB","N","SURVEY_RCB",26
16,"Female","Bhaktapur","Bhaktapur  Municipality",3,"RCB","Y","SURVEY_RCB",26
1,"Female","Bhaktapur","Bhaktapur  Municipality",3,"RTB","N","RS_RV_RTB",26
1,"Female","Bhaktapur","Bhaktapur  Municipality",3,"RTB","N","SURVEY_RTB",26
13,"Female","Bhaktapur","Bhaktapur  Municipality",4,"RCB","N","GRIEVANCE_PHASE_I",26
7,"Female","Bhaktapur","Bhaktapur  Municipality",4,"RCB","N","RS_RV_RCB",26
156,"Female","Bhaktapur","Bhaktapur  Municipality",4,"RCB","N","SURVEY_RCB",26
17,"Female","Bhaktapur","Bhaktapur  Municipality",4,"RCB","Y","SURVEY_RCB",26
2,"Female","Bhaktapur","Bhaktapur  Municipality",4,"RTB","N","RS_RV_RTB",26
3,"Female","Bhaktapur","Bhaktapur  Municipality",4,"RTB","N","SURVEY_RTB",26
14,"Female","Bhaktapur","Bhaktapur  Municipality",5,"RCB","N","GRIEVANCE_PHASE_I",26
9,"Female","Bhaktapur","Bhaktapur  Municipality",5,"RCB","N","RS_RV_RCB",26
144,"Female","Bhaktapur","Bhaktapur  Municipality",5,"RCB","N","SURVEY_RCB",26
16,"Female","Bhaktapur","Bhaktapur  Municipality",5,"RCB","Y","SURVEY_RCB",26
2,"Female","Bhaktapur","Bhaktapur  Municipality",5,"RTB","N","SURVEY_RTB",26
17,"Female","Bhaktapur","Bhaktapur  Municipality",6,"RCB","N","GRIEVANCE_PHASE_I",26
4,"Female","Bhaktapur","Bhaktapur  Municipality",6,"RCB","N","RS_RV_RCB",26
205,"Female","Bhaktapur","Bhaktapur  Municipality",6,"RCB","N","SURVEY_RCB",26
19,"Female","Bhaktapur","Bhaktapur  Municipality",6,"RCB","Y","SURVEY_RCB",26
2,"Female","Bhaktapur","Bhaktapur  Municipality",6,"RTB","N","RS_RV_RTB",26
1,"Female","Bhaktapur","Bhaktapur  Municipality",6,"RTB","N","SURVEY_RTB",26
28,"Female","Bhaktapur","Bhaktapur  Municipality",7,"RCB","N","GRIEVANCE_PHASE_I",26
2,"Female","Bhaktapur","Bhaktapur  Municipality",7,"RCB","N","GRIEVANCE_RCB_II",26
1,"Female","Bhaktapur","Bhaktapur  Municipality",7,"RCB","N","RS_RV_RCB",26
185,"Female","Bhaktapur","Bhaktapur  Municipality",7,"RCB","N","SURVEY_RCB",26
13,"Female","Bhaktapur","Bhaktapur  Municipality",7,"RCB","Y","SURVEY_RCB",26
5,"Female","Bhaktapur","Bhaktapur  Municipality",7,"RTB","N","RS_RV_RTB",26
2,"Female","Bhaktapur","Bhaktapur  Municipality",7,"RTB","N","SURVEY_RTB",26
9,"Female","Bhaktapur","Bhaktapur  Municipality",8,"RCB","N","GRIEVANCE_PHASE_I",26
1,"Female","Bhaktapur","Bhaktapur  Municipality",8,"RCB","N","RS_RV_RCB",26
100,"Female","Bhaktapur","Bhaktapur  Municipality",8,"RCB","N","SURVEY_RCB",26
7,"Female","Bhaktapur","Bhaktapur  Municipality",8,"RCB","Y","SURVEY_RCB",26
1,"Female","Bhaktapur","Bhaktapur  Municipality",8,"RTB","N","SURVEY_RTB",26
1,"Female","Bhaktapur","Bhaktapur  Municipality",9,"GRB","N","RS_RV_RCB",26
18,"Female","Bhaktapur","Bhaktapur  Municipality",9,"RCB","N","GRIEVANCE_PHASE_I",26
9,"Female","Bhaktapur","Bhaktapur  Municipality",9,"RCB","N","RS_RV_RCB",26
343,"Female","Bhaktapur","Bhaktapur  Municipality",9,"RCB","N","SURVEY_RCB",26
16,"Female","Bhaktapur","Bhaktapur  Municipality",9,"RCB","Y","SURVEY_RCB",26
3,"Female","Bhaktapur","Bhaktapur  Municipality",9,"RTB","N","RS_RV_RTB",26
1,"Female","Bhaktapur","Bhaktapur  Municipality",9,"RTB","N","SURVEY_RTB",26
11,"Female","Bhaktapur","Bhaktapur  Municipality",10,"RCB","N","GRIEVANCE_PHASE_I",26
3,"Female","Bhaktapur","Bhaktapur  Municipality",10,"RCB","N","RS_RV_RCB",26
113,"Female","Bhaktapur","Bhaktapur  Municipality",10,"RCB","N","SURVEY_RCB",26
4,"Female","Bhaktapur","Bhaktapur  Municipality",10,"RCB","Y","SURVEY_RCB",26
1,"Female","Bhaktapur","Bhaktapur  Municipality",10,"RTB","N","RS_RV_RTB",26
7,"Female","Bhaktapur","Bhaktapur  Municipality",10,"RTB","N","SURVEY_RTB",26
1,"Female","Bhaktapur","Changunarayan  Municipality",1,"RCB","N","GRIEVANCE_PHASE_I",26
108,"Female","Bhaktapur","Changunarayan  Municipality",1,"RCB","N","SURVEY_RCB",26
13,"Female","Bhaktapur","Changunarayan  Municipality",1,"RCB","Y","SURVEY_RCB",26
2,"Female","Bhaktapur","Changunarayan  Municipality",1,"RTB","N","RS_RV_RTB",26
3,"Female","Bhaktapur","Changunarayan  Municipality",1,"RTB","N","SURVEY_RTB",26
3,"Female","Bhaktapur","Changunarayan  Municipality",2,"RCB","N","RS_RV_RCB",26
77,"Female","Bhaktapur","Changunarayan  Municipality",2,"RCB","N","SURVEY_RCB",26
8,"Female","Bhaktapur","Changunarayan  Municipality",2,"RCB","Y","SURVEY_RCB",26
3,"Female","Bhaktapur","Changunarayan  Municipality",2,"RTB","N","RS_RV_RTB",26
1,"Female","Bhaktapur","Changunarayan  Municipality",2,"RTB","N","SURVEY_RTB",26
10,"Female","Bhaktapur","Changunarayan  Municipality",3,"RCB","N","GRIEVANCE_PHASE_I",26
2,"Female","Bhaktapur","Changunarayan  Municipality",3,"RCB","N","RS_RV_RCB",26
152,"Female","Bhaktapur","Changunarayan  Municipality",3,"RCB","N","SURVEY_RCB",26
29,"Female","Bhaktapur","Changunarayan  Municipality",3,"RCB","Y","SURVEY_RCB",26
2,"Female","Bhaktapur","Changunarayan  Municipality",3,"RTB","N","RS_RV_RTB",26
8,"Female","Bhaktapur","Changunarayan  Municipality",4,"RCB","N","GRIEVANCE_PHASE_I",26
1,"Female","Bhaktapur","Changunarayan  Municipality",4,"RCB","N","RS_RV_RCB",26
202,"Female","Bhaktapur","Changunarayan  Municipality",4,"RCB","N","SURVEY_RCB",26
23,"Female","Bhaktapur","Changunarayan  Municipality",4,"RCB","Y","SURVEY_RCB",26
3,"Female","Bhaktapur","Changunarayan  Municipality",4,"RTB","N","SURVEY_RTB",26
5,"Female","Bhaktapur","Changunarayan  Municipality",5,"RCB","N","GRIEVANCE_PHASE_I",26
7,"Female","Bhaktapur","Changunarayan  Municipality",5,"RCB","N","RS_RV_RCB",26
264,"Female","Bhaktapur","Changunarayan  Municipality",5,"RCB","N","SURVEY_RCB",26
57,"Female","Bhaktapur","Changunarayan  Municipality",5,"RCB","Y","SURVEY_RCB",26
2,"Female","Bhaktapur","Changunarayan  Municipality",5,"RTB","N","RS_RV_RTB",26
2,"Female","Bhaktapur","Changunarayan  Municipality",6,"RCB","N","GRIEVANCE_PHASE_I",26
15,"Female","Bhaktapur","Changunarayan  Municipality",6,"RCB","N","RS_RV_RCB",26
194,"Female","Bhaktapur","Changunarayan  Municipality",6,"RCB","N","SURVEY_RCB",26
15,"Female","Bhaktapur","Changunarayan  Municipality",6,"RCB","Y","SURVEY_RCB",26
6,"Female","Bhaktapur","Changunarayan  Municipality",6,"RTB","N","RS_RV_RTB",26
1,"Female","Bhaktapur","Changunarayan  Municipality",6,"RTB","N","SURVEY_RTB",26
10,"Female","Bhaktapur","Changunarayan  Municipality",7,"RCB","N","GRIEVANCE_PHASE_I",26
6,"Female","Bhaktapur","Changunarayan  Municipality",7,"RCB","N","RS_RV_RCB",26
167,"Female","Bhaktapur","Changunarayan  Municipality",7,"RCB","N","SURVEY_RCB",26
17,"Female","Bhaktapur","Changunarayan  Municipality",7,"RCB","Y","SURVEY_RCB",26
1,"Female","Bhaktapur","Changunarayan  Municipality",7,"RTB","N","RS_RV_RTB",26
1,"Female","Bhaktapur","Changunarayan  Municipality",8,"GRB","N","RS_RV_RCB",26
15,"Female","Bhaktapur","Changunarayan  Municipality",8,"RCB","N","GRIEVANCE_PHASE_I",26
6,"Female","Bhaktapur","Changunarayan  Municipality",8,"RCB","N","GRIEVANCE_RCB_II",26
14,"Female","Bhaktapur","Changunarayan  Municipality",8,"RCB","N","RS_RV_RCB",26
215,"Female","Bhaktapur","Changunarayan  Municipality",8,"RCB","N","SURVEY_RCB",26
15,"Female","Bhaktapur","Changunarayan  Municipality",8,"RCB","Y","SURVEY_RCB",26
5,"Female","Bhaktapur","Changunarayan  Municipality",8,"RTB","N","RS_RV_RTB",26
1,"Female","Bhaktapur","Changunarayan  Municipality",8,"RTB","N","SURVEY_RTB",26
19,"Female","Bhaktapur","Changunarayan  Municipality",9,"RCB","N","GRIEVANCE_PHASE_I",26
1,"Female","Bhaktapur","Changunarayan  Municipality",9,"RCB","N","GRIEVANCE_RCB_II",26
15,"Female","Bhaktapur","Changunarayan  Municipality",9,"RCB","N","RS_RV_RCB",26
181,"Female","Bhaktapur","Changunarayan  Municipality",9,"RCB","N","SURVEY_RCB",26
25,"Female","Bhaktapur","Changunarayan  Municipality",9,"RCB","Y","SURVEY_RCB",26
9,"Female","Bhaktapur","Changunarayan  Municipality",9,"RTB","N","RS_RV_RTB",26
3,"Female","Bhaktapur","Changunarayan  Municipality",9,"RTB","N","SURVEY_RTB",26
7,"Female","Bhaktapur","Madhyapur Thimi  Municipality",1,"RCB","N","SURVEY_RCB",26
2,"Female","Bhaktapur","Madhyapur Thimi  Municipality",1,"RCB","Y","SURVEY_RCB",26
1,"Female","Bhaktapur","Madhyapur Thimi  Municipality",1,"RTB","N","RS_RV_RTB",26
1,"Female","Bhaktapur","Madhyapur Thimi  Municipality",1,"RTB","N","SURVEY_RTB",26
1,"Female","Bhaktapur","Madhyapur Thimi  Municipality",2,"RCB","N","RS_RV_RCB",26
13,"Female","Bhaktapur","Madhyapur Thimi  Municipality",2,"RCB","N","SURVEY_RCB",26
1,"Female","Bhaktapur","Madhyapur Thimi  Municipality",2,"RCB","Y","SURVEY_RCB",26
2,"Female","Bhaktapur","Madhyapur Thimi  Municipality",3,"RCB","N","GRIEVANCE_PHASE_I",26
1,"Female","Bhaktapur","Madhyapur Thimi  Municipality",3,"RCB","N","RS_RV_RCB",26
34,"Female","Bhaktapur","Madhyapur Thimi  Municipality",3,"RCB","N","SURVEY_RCB",26
1,"Female","Bhaktapur","Madhyapur Thimi  Municipality",3,"RCB","Y","SURVEY_RCB",26
1,"Female","Bhaktapur","Madhyapur Thimi  Municipality",3,"RTB","N","RS_RV_RTB",26
6,"Female","Bhaktapur","Madhyapur Thimi  Municipality",4,"RCB","N","GRIEVANCE_PHASE_I",26
